Lat,Long
41.09375,-120.21875
41.15625,-120.21875
41.21875,-120.21875
41.28125,-120.21875
41.96875,-120.21875
42.03125,-120.21875
41.09375,-120.28125
41.15625,-120.28125
41.21875,-120.28125
41.28125,-120.28125
41.34375,-120.28125
41.40625,-120.28125
41.46875,-120.28125
41.59375,-120.28125
41.71875,-120.28125
41.78125,-120.28125
41.84375,-120.28125
41.90625,-120.28125
41.96875,-120.28125
42.03125,-120.28125
42.09375,-120.28125
42.15625,-120.28125
42.21875,-120.28125
42.28125,-120.28125
41.03125,-120.34375
41.09375,-120.34375
41.15625,-120.34375
41.21875,-120.34375
41.28125,-120.34375
41.34375,-120.34375
41.40625,-120.34375
41.46875,-120.34375
41.53125,-120.34375
41.59375,-120.34375
41.65625,-120.34375
41.71875,-120.34375
41.78125,-120.34375
41.84375,-120.34375
41.90625,-120.34375
41.96875,-120.34375
42.03125,-120.34375
42.09375,-120.34375
42.15625,-120.34375
42.21875,-120.34375
42.28125,-120.34375
42.34375,-120.34375
41.09375,-120.40625
41.15625,-120.40625
41.21875,-120.40625
41.28125,-120.40625
41.34375,-120.40625
41.40625,-120.40625
41.46875,-120.40625
41.53125,-120.40625
41.59375,-120.40625
41.65625,-120.40625
41.71875,-120.40625
41.78125,-120.40625
41.84375,-120.40625
41.90625,-120.40625
41.96875,-120.40625
42.03125,-120.40625
42.09375,-120.40625
42.15625,-120.40625
42.21875,-120.40625
42.28125,-120.40625
42.34375,-120.40625
41.09375,-120.46875
41.15625,-120.46875
41.21875,-120.46875
41.28125,-120.46875
41.34375,-120.46875
41.40625,-120.46875
41.46875,-120.46875
41.53125,-120.46875
41.59375,-120.46875
41.65625,-120.46875
41.71875,-120.46875
41.78125,-120.46875
41.84375,-120.46875
41.90625,-120.46875
41.96875,-120.46875
42.03125,-120.46875
42.09375,-120.46875
42.15625,-120.46875
42.21875,-120.46875
42.28125,-120.46875
42.34375,-120.46875
41.15625,-120.53125
41.21875,-120.53125
41.28125,-120.53125
41.34375,-120.53125
41.40625,-120.53125
41.46875,-120.53125
41.53125,-120.53125
41.59375,-120.53125
41.65625,-120.53125
41.71875,-120.53125
41.78125,-120.53125
41.84375,-120.53125
41.90625,-120.53125
41.96875,-120.53125
42.03125,-120.53125
42.09375,-120.53125
42.15625,-120.53125
42.21875,-120.53125
42.28125,-120.53125
42.34375,-120.53125
41.03125,-120.59375
41.09375,-120.59375
41.15625,-120.59375
41.21875,-120.59375
41.28125,-120.59375
41.34375,-120.59375
41.40625,-120.59375
41.46875,-120.59375
41.53125,-120.59375
41.59375,-120.59375
41.65625,-120.59375
41.71875,-120.59375
41.78125,-120.59375
41.96875,-120.59375
42.03125,-120.59375
42.09375,-120.59375
42.15625,-120.59375
42.21875,-120.59375
42.28125,-120.59375
42.34375,-120.59375
40.96875,-120.65625
41.03125,-120.65625
41.09375,-120.65625
41.15625,-120.65625
41.21875,-120.65625
41.28125,-120.65625
41.34375,-120.65625
41.40625,-120.65625
41.46875,-120.65625
41.53125,-120.65625
41.59375,-120.65625
41.65625,-120.65625
41.71875,-120.65625
42.03125,-120.65625
42.09375,-120.65625
42.15625,-120.65625
42.21875,-120.65625
42.28125,-120.65625
