,lat,long
0,34.28125,242.78125
1,34.28125,242.71875
2,34.28125,242.65625
3,34.28125,242.53125
4,34.28125,242.40625
5,34.28125,242.28125
6,34.28125,242.15625
7,34.28125,242.59375
8,34.28125,242.03125
9,34.28125,241.90625
10,34.28125,242.46875
11,34.28125,242.34375
12,34.28125,241.78125
13,34.28125,241.65625
14,34.28125,242.21875
15,34.28125,242.09375
16,34.28125,241.84375
17,34.28125,241.96875
18,34.28125,241.71875
19,34.28125,241.59375
20,34.28125,241.28125
21,34.28125,241.53125
22,34.28125,241.40625
23,34.28125,241.15625
24,34.28125,241.03125
25,34.28125,241.09375
26,34.28125,241.34375
27,34.28125,240.96875
28,34.28125,241.21875
29,34.28125,240.78125
30,34.28125,241.46875
31,34.28125,240.65625
32,34.34375,242.71875
33,34.34375,242.59375
34,34.34375,242.46875
35,34.34375,242.34375
36,34.28125,240.71875
37,34.28125,240.90625
38,34.34375,242.21875
39,34.34375,242.09375
40,34.34375,242.78125
41,34.34375,241.96875
42,34.34375,242.65625
43,34.34375,242.53125
44,34.34375,242.28125
45,34.28125,240.84375
46,34.34375,242.40625
47,34.34375,241.90625
48,34.34375,242.15625
49,34.34375,241.84375
50,34.34375,241.71875
51,34.34375,241.46875
52,34.34375,242.03125
53,34.34375,241.59375
54,34.34375,241.78125
55,34.34375,241.65625
56,34.34375,241.34375
57,34.34375,241.09375
58,34.34375,240.71875
59,34.34375,241.40625
60,34.34375,241.53125
61,34.34375,240.96875
62,34.34375,240.84375
63,34.34375,241.21875
64,34.40625,242.78125
65,34.34375,240.65625
66,34.40625,242.65625
67,34.34375,241.28125
68,34.34375,241.03125
69,34.34375,240.90625
70,34.34375,241.15625
71,34.34375,240.78125
72,34.40625,242.40625
73,34.40625,242.53125
74,34.40625,242.71875
75,34.40625,242.59375
76,34.40625,242.28125
77,34.40625,242.15625
78,34.40625,241.65625
79,34.40625,242.03125
80,34.40625,241.90625
81,34.40625,241.78125
82,34.40625,242.34375
83,34.40625,242.46875
84,34.40625,242.21875
85,34.40625,241.53125
86,34.40625,241.40625
87,34.40625,241.96875
88,34.40625,241.59375
89,34.40625,242.09375
90,34.40625,241.71875
91,34.40625,241.84375
92,34.40625,241.34375
93,34.40625,241.46875
94,34.40625,241.28125
95,34.40625,241.15625
96,34.40625,241.03125
97,34.40625,240.90625
98,34.40625,240.78125
99,34.40625,240.65625
100,34.40625,240.53125
101,34.40625,240.40625
102,34.46875,242.78125
103,34.46875,242.65625
104,34.40625,241.21875
105,34.40625,240.84375
106,34.40625,240.96875
107,34.40625,241.09375
108,34.40625,240.59375
109,34.40625,240.34375
110,34.40625,240.46875
111,34.46875,242.71875
112,34.46875,242.59375
113,34.40625,240.71875
114,34.46875,241.53125
115,34.46875,242.40625
116,34.46875,242.53125
117,34.46875,242.28125
118,34.46875,242.15625
119,34.46875,241.90625
120,34.46875,242.03125
121,34.46875,241.78125
122,34.46875,241.40625
123,34.46875,241.65625
124,34.46875,242.46875
125,34.46875,242.21875
126,34.46875,242.09375
127,34.46875,242.34375
128,34.46875,241.84375
129,34.46875,241.71875
130,34.46875,241.59375
131,34.46875,241.34375
132,34.46875,241.96875
133,34.46875,241.46875
134,34.46875,241.28125
135,34.46875,241.15625
136,34.46875,240.78125
137,34.46875,241.03125
138,34.46875,240.90625
139,34.46875,240.65625
140,34.53125,242.78125
141,34.53125,242.65625
142,34.46875,240.40625
143,34.46875,240.53125
144,34.46875,241.21875
145,34.46875,241.09375
146,34.46875,240.96875
147,34.46875,240.71875
148,34.46875,240.84375
149,34.46875,240.46875
150,34.53125,242.59375
151,34.46875,240.34375
152,34.46875,240.59375
153,34.53125,242.71875
154,34.53125,241.90625
155,34.53125,242.53125
156,34.53125,242.40625
157,34.53125,242.28125
158,34.53125,242.15625
159,34.53125,242.03125
160,34.53125,241.78125
161,34.53125,241.53125
162,34.53125,241.65625
163,34.53125,241.40625
164,34.53125,241.84375
165,34.53125,242.09375
166,34.53125,242.21875
167,34.53125,242.46875
168,34.53125,241.71875
169,34.53125,242.34375
170,34.53125,241.96875
171,34.53125,241.46875
172,34.53125,241.34375
173,34.53125,241.59375
174,34.53125,241.28125
175,34.53125,241.15625
176,34.53125,241.03125
177,34.59375,242.65625
178,34.53125,240.78125
179,34.53125,240.40625
180,34.53125,240.65625
181,34.53125,240.53125
182,34.59375,242.78125
183,34.53125,240.90625
184,34.53125,241.09375
185,34.53125,241.21875
186,34.53125,240.59375
187,34.53125,240.84375
188,34.59375,242.59375
189,34.53125,240.96875
190,34.53125,240.71875
191,34.53125,240.46875
192,34.59375,242.71875
193,34.53125,240.34375
194,34.59375,242.15625
195,34.59375,242.28125
196,34.59375,242.53125
197,34.59375,242.40625
198,34.59375,242.03125
199,34.59375,241.90625
200,34.59375,241.78125
201,34.59375,241.65625
202,34.59375,241.53125
203,34.59375,242.09375
204,34.59375,242.21875
205,34.59375,241.40625
206,34.59375,242.46875
207,34.59375,242.34375
208,34.59375,241.96875
209,34.59375,241.84375
210,34.59375,241.71875
211,34.59375,241.46875
212,34.59375,241.59375
213,34.59375,241.15625
214,34.59375,241.03125
215,34.59375,240.90625
216,34.59375,241.34375
217,34.59375,241.28125
218,34.59375,240.65625
219,34.59375,240.53125
220,34.59375,240.78125
221,34.59375,240.40625
222,34.59375,241.21875
223,34.65625,242.65625
224,34.65625,242.78125
225,34.59375,241.09375
226,34.59375,240.84375
227,34.59375,240.96875
228,34.59375,240.34375
229,34.59375,240.71875
230,34.59375,240.46875
231,34.59375,240.59375
232,34.65625,242.59375
233,34.65625,242.71875
234,34.65625,242.53125
235,34.65625,242.40625
236,34.65625,242.28125
237,34.65625,242.03125
238,34.65625,242.15625
239,34.65625,241.65625
240,34.65625,241.90625
241,34.65625,241.78125
242,34.65625,241.53125
243,34.65625,242.34375
244,34.65625,242.09375
245,34.65625,242.21875
246,34.65625,241.40625
247,34.65625,241.96875
248,34.65625,241.59375
249,34.65625,242.46875
250,34.65625,241.84375
251,34.65625,241.71875
252,34.65625,241.28125
253,34.65625,241.46875
254,34.65625,241.15625
255,34.65625,241.03125
256,34.65625,240.90625
257,34.65625,241.34375
258,34.65625,240.78125
259,34.65625,240.65625
260,34.65625,240.40625
261,34.65625,240.53125
262,34.65625,241.09375
263,34.65625,241.21875
264,34.71875,242.78125
265,34.65625,240.59375
266,34.65625,240.96875
267,34.65625,240.46875
268,34.65625,240.71875
269,34.65625,240.84375
270,34.65625,240.34375
271,34.71875,242.65625
272,34.71875,242.53125
273,34.71875,242.71875
274,34.71875,242.40625
275,34.71875,242.28125
276,34.71875,241.65625
277,34.71875,242.46875
278,34.71875,242.15625
279,34.71875,242.03125
280,34.71875,241.90625
281,34.71875,241.78125
282,34.71875,242.59375
283,34.71875,242.21875
284,34.71875,242.34375
285,34.71875,241.59375
286,34.71875,241.53125
287,34.71875,241.71875
288,34.71875,241.84375
289,34.71875,242.09375
290,34.71875,241.96875
291,34.71875,241.40625
292,34.71875,241.15625
293,34.71875,241.28125
294,34.71875,241.03125
295,34.71875,241.46875
296,34.71875,240.90625
297,34.71875,240.78125
298,34.71875,241.21875
299,34.71875,240.96875
300,34.71875,241.34375
301,34.71875,241.09375
302,34.71875,240.40625
303,34.71875,240.65625
304,34.71875,240.53125
305,34.78125,242.78125
306,34.71875,240.84375
307,34.71875,240.71875
308,34.78125,242.28125
309,34.78125,242.40625
310,34.78125,242.53125
311,34.78125,242.65625
312,34.71875,240.59375
313,34.71875,240.34375
314,34.71875,240.46875
315,34.78125,242.71875
316,34.78125,242.15625
317,34.78125,242.34375
318,34.78125,242.46875
319,34.78125,242.59375
320,34.78125,242.21875
321,34.78125,242.03125
322,34.78125,241.90625
323,34.78125,241.65625
324,34.78125,241.78125
325,34.78125,241.53125
326,34.78125,241.40625
327,34.78125,242.09375
328,34.78125,241.03125
329,34.78125,241.15625
330,34.78125,241.28125
331,34.78125,241.71875
332,34.78125,241.96875
